file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg
Bosphorus_LCEVC_AVC_SW2-250_QP22_2025-07-02_14-37-53.lvc, 250, 22, 207392597,2994814,204397783,98.5560%,45.16
Bosphorus_LCEVC_AVC_SW2-750_QP22_2025-07-02_14-42-55.lvc, 750, 22, 50715699,2994814,47720885,94.0949%,44.43
Bosphorus_LCEVC_AVC_SW2-1250_QP22_2025-07-02_14-47-26.lvc, 1250, 22, 16461152,2994814,13466338,81.8068%,43.25
Bosphorus_LCEVC_AVC_SW2-1750_QP22_2025-07-02_14-51-47.lvc, 1750, 22, 6171864,2994814,3177050,51.4763%,42.29
Bosphorus_LCEVC_AVC_SW2-2250_QP22_2025-07-02_14-56-05.lvc, 2250, 22, 3531521,2994814,536707,15.1976%,42.03
Bosphorus_LCEVC_AVC_SW2-2750_QP22_2025-07-02_15-00-27.lvc, 2750, 22, 3083003,2994814,88189,2.8605%,41.99
Bosphorus_LCEVC_AVC_SW2-3250_QP22_2025-07-02_15-04-42.lvc, 3250, 22, 3031413,2994814,36599,1.2073%,41.98
Bosphorus_LCEVC_AVC_SW2-250_QP27_2025-07-02_16-00-39.lvc, 250, 27, 89155465,1306835,87848630,98.5342%,42.24
Bosphorus_LCEVC_AVC_SW2-750_QP27_2025-07-02_16-04-18.lvc, 750, 27, 31900871,1306835,30594036,95.9035%,41.95
Bosphorus_LCEVC_AVC_SW2-1250_QP27_2025-07-02_16-07-47.lvc, 1250, 27, 13300950,1306835,11994115,90.1749%,41.33
Bosphorus_LCEVC_AVC_SW2-1750_QP27_2025-07-02_16-11-11.lvc, 1750, 27, 5550427,1306835,4243592,76.4552%,40.54
Bosphorus_LCEVC_AVC_SW2-2250_QP27_2025-07-02_16-14-32.lvc, 2250, 27, 2525179,1306835,1218344,48.2478%,39.92
Bosphorus_LCEVC_AVC_SW2-2750_QP27_2025-07-02_16-17-52.lvc, 2750, 27, 1536124,1306835,229289,14.9265%,39.76
Bosphorus_LCEVC_AVC_SW2-3250_QP27_2025-07-02_16-21-12.lvc, 3250, 27, 1342845,1306835,36010,2.6816%,39.74
Bosphorus_LCEVC_AVC_SW2-250_QP32_2025-07-02_17-15-39.lvc, 250, 32, 93649093,597625,93051468,99.3618%,40.35
Bosphorus_LCEVC_AVC_SW2-750_QP32_2025-07-02_17-19-17.lvc, 750, 32, 35940464,597625,35342839,98.3372%,40.18
Bosphorus_LCEVC_AVC_SW2-1250_QP32_2025-07-02_17-22-45.lvc, 1250, 32, 16027729,597625,15430104,96.2713%,39.71
Bosphorus_LCEVC_AVC_SW2-1750_QP32_2025-07-02_17-26-09.lvc, 1750, 32, 7230259,597625,6632634,91.7344%,39.02
Bosphorus_LCEVC_AVC_SW2-2250_QP32_2025-07-02_17-29-28.lvc, 2250, 32, 3331289,597625,2733664,82.0602%,38.18
Bosphorus_LCEVC_AVC_SW2-2750_QP32_2025-07-02_17-32-49.lvc, 2750, 32, 1407158,597625,809533,57.5296%,37.58
Bosphorus_LCEVC_AVC_SW2-3250_QP32_2025-07-02_17-36-07.lvc, 3250, 32, 776006,597625,178381,22.9871%,37.39
