file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP37_2025-07-25_05-41-25.lvc,750,37,5118658,121281,4997377,97.6306%,40.24,20474.63
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP37_2025-07-25_05-43-54.lvc,1250,37,1680926,121281,1559645,92.7849%,38.19,6723.70
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP37_2025-07-25_05-46-24.lvc,1750,37,867571,121281,746290,86.0206%,37.34,3470.28
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP37_2025-07-25_05-48-53.lvc,2250,37,813161,121281,691880,85.0852%,37.23,3252.64
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP37_2025-07-25_05-51-21.lvc,2750,37,539495,121281,418214,77.5195%,36.93,2157.98
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP37_2025-07-25_05-53-50.lvc,3250,37,260229,121281,138948,53.3945%,36.49,1040.92
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP35_2025-07-25_06-13-53.lvc,750,35,4543367,183801,4359566,95.9545%,40.67,18173.47
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP35_2025-07-25_06-16-23.lvc,1250,35,1432584,183801,1248783,87.1700%,38.63,5730.34
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP35_2025-07-25_06-18-52.lvc,1750,35,765920,183801,582119,76.0026%,37.85,3063.68
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP35_2025-07-25_06-21-22.lvc,2250,35,715232,183801,531431,74.3019%,37.75,2860.93
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP35_2025-07-25_06-23-52.lvc,2750,35,498245,183801,314444,63.1103%,37.49,1992.98
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP35_2025-07-25_06-26-21.lvc,3250,35,281466,183801,97665,34.6987%,37.14,1125.86
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP32_2025-07-25_07-13-10.lvc,750,32,3736275,323223,3413052,91.3491%,41.24,14945.10
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP32_2025-07-25_07-15-41.lvc,1250,32,1162936,323223,839713,72.2063%,39.38,4651.74
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP32_2025-07-25_07-18-11.lvc,1750,32,705737,323223,382514,54.2006%,38.79,2822.95
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP32_2025-07-25_07-20-39.lvc,2250,32,664819,323223,341596,51.3818%,38.72,2659.28
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP32_2025-07-25_07-23-09.lvc,2750,32,517538,323223,194315,37.5460%,38.54,2070.15
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP32_2025-07-25_07-25-41.lvc,3250,32,375123,323223,51900,13.8355%,38.32,1500.49
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP30_2025-07-25_08-11-01.lvc,750,30,3141112,488241,2652871,84.4564%,41.70,12564.45
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP30_2025-07-25_08-13-34.lvc,1250,30,1057098,488241,568857,53.8131%,40.11,4228.39
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP30_2025-07-25_08-16-04.lvc,1750,30,748551,488241,260310,34.7752%,39.70,2994.20
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP30_2025-07-25_08-18-34.lvc,2250,30,718282,488241,230041,32.0266%,39.65,2873.13
vc-philips-01_120frames_VVC-Only_QP37.bin,265,37,425336,0,0,0%,38.51,1701.34
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP30_2025-07-25_08-21-05.lvc,2750,30,613763,488241,125522,20.4512%,39.53,2455.05
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP30_2025-07-25_08-23-34.lvc,3250,30,516071,488241,27830,5.3927%,39.39,2064.28
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP27_2025-07-25_09-26-10.lvc,750,27,2460591,832597,1627994,66.1627%,42.36,9842.36
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP27_2025-07-25_09-28-41.lvc,1250,27,1115699,832597,283102,25.3744%,41.17,4462.80
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP27_2025-07-25_09-31-11.lvc,1750,27,971277,832597,138680,14.2781%,40.95,3885.11
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP27_2025-07-25_09-33-43.lvc,2250,27,955257,832597,122660,12.8405%,40.93,3821.03
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP27_2025-07-25_09-36-12.lvc,2750,27,891745,832597,59148,6.6328%,40.86,3566.98
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP27_2025-07-25_09-38-42.lvc,3250,27,842020,832597,9423,1.1191%,40.81,3368.08
vc-philips-01_120frames_VVC-Only_QP35.bin,265,35,604903,0,0,0%,39.48,2419.61
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP25_2025-07-25_10-27-26.lvc,750,25,2257562,1199958,1057604,46.8472%,43.05,9030.25
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP25_2025-07-25_10-30-30.lvc,1250,25,1363696,1199958,163738,12.0069%,42.24,5454.78
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP25_2025-07-25_10-33-33.lvc,1750,25,1295331,1199958,95373,7.3628%,42.13,5181.32
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP25_2025-07-25_10-36-36.lvc,2250,25,1286043,1199958,86085,6.6938%,42.12,5144.17
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP25_2025-07-25_10-39-39.lvc,2750,25,1234327,1199958,34369,2.7844%,42.09,4937.31
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP25_2025-07-25_10-42-42.lvc,3250,25,1205943,1199958,5985,0.4963%,42.06,4823.77
vc-philips-01_120frames_LCEVC_VVC_SW2-750_QP22_2025-07-25_11-39-24.lvc,750,22,2383292,1917273,466019,19.5536%,44.00,9533.17
vc-philips-01_120frames_LCEVC_VVC_SW2-1250_QP22_2025-07-25_11-42-27.lvc,1250,22,1982576,1917273,65303,3.2938%,43.58,7930.30
vc-philips-01_120frames_LCEVC_VVC_SW2-1750_QP22_2025-07-25_11-45-29.lvc,1750,22,1965174,1917273,47901,2.4375%,43.55,7860.70
vc-philips-01_120frames_LCEVC_VVC_SW2-2250_QP22_2025-07-25_11-48-31.lvc,2250,22,1961129,1917273,43856,2.2363%,43.55,7844.52
vc-philips-01_120frames_LCEVC_VVC_SW2-2750_QP22_2025-07-25_11-51-33.lvc,2750,22,1933946,1917273,16673,0.8621%,43.53,7735.78
vc-philips-01_120frames_LCEVC_VVC_SW2-3250_QP22_2025-07-25_11-54-37.lvc,3250,22,1922342,1917273,5069,0.2637%,43.51,7689.37
vc-philips-01_120frames_VVC-Only_QP32.bin,265,32,966774,0,0,0%,40.97,3867.10
vc-philips-01_120frames_VVC-Only_QP30.bin,265,30,1360536,0,0,0%,42.30,5442.14
vc-philips-01_120frames_VVC-Only_QP27.bin,265,27,2129169,0,0,0%,43.90,8516.68
vc-philips-01_120frames_VVC-Only_QP25.bin,265,25,2905023,0,0,0%,45.30,11620.09
vc-philips-01_120frames_VVC-Only_QP22.bin,265,22,4397908,0,0,0%,46.80,17591.63
